variable,degree,in_degree,out_degree,betweenness,closeness
p22_02,30,26,4,17.74570707070707,1
p15_06,26,14,12,34.88506493506494,0.308411214953271
socioemotional_learning,25,0,25,0,0.7551020408163265
p05_04,24,10,14,34.44653679653679,0.3055555555555556
p05_07,24,19,5,8.498881673881673,1
p14_08,24,21,3,5.999278499278499,1
p09_12,23,7,16,23.32864357864357,0.4230769230769231
p14_03,23,13,10,19.586940836940837,0.3402061855670103
p14_01,22,14,8,16.77308802308802,0.8333333333333334
p21_03,22,15,7,37.20797258297258,0.308411214953271
p24_03,22,16,6,53.996861471861465,0.3113207547169811
p24_02,21,4,17,25.29365079365078,0.6
p15_07,21,9,12,98.12554112554115,0.4647887323943662
p05_08,20,2,18,168.12658730158728,0.673469387755102
p23_08,20,3,17,20.937734487734488,0.5666666666666667
p10_13,20,13,7,10.731782106782106,0.8181818181818182
p05_02,20,20,0,0,NA
p26_06,19,5,14,56.358369408369406,0.6
p23_07,19,3,16,17.727020202020203,0.4177215189873418
p24_07,19,12,7,20.91349206349206,0.2682926829268293
p10_12,19,14,5,8.451262626262626,0.7777777777777778
p14_02,19,17,2,1.8273809523809523,1
p07,18,4,14,11.985028860028859,0.5147058823529411
p09_07,18,5,13,10.78773448773449,0.4230769230769231
p09_09,18,11,7,33.18297258297258,0.3113207547169811
p08,17,1,16,0.41666666666666663,0.5217391304347826
p26_05,17,3,14,35.888492063492066,0.6111111111111112
p13_06,17,9,8,7.541666666666666,0.3173076923076923
p12_09,17,7,10,12.48181818181818,0.2682926829268293
p10_04,17,16,1,0.5833333333333333,0.4
p14_07,17,17,0,0,NA
p15_03,16,5,11,90.7099567099567,0.4647887323943662
p10_14,16,15,1,6.724242424242425,0.5555555555555556
academic_math,15,1,14,1.2916666666666665,0.578125
p26_03,15,4,11,33.084199134199125,0.5
p15_04,15,9,6,199.91590909090905,0.3626373626373626
academic_lang,14,1,13,4.7,0.5967741935483871
p26_04,14,4,10,3.3207070707070705,0.4852941176470588
p13_08,13,10,3,9.2,0.5333333333333333
p24_05,12,5,7,176.2238095238095,0.4925373134328358
